pretrained_code_feature,matched_finetuned_feature,decoder_cosine_similarity,pre_top_tokens,ft_top_tokens
494,1763,0.7367433309555054,"'或', ' or', '或', '或', '或', '或', 'or', ' or', ' or', ' or'","' or', ' or', ' or', 'or', '或', '或', '或', '或', ' or', '或'"
1959,2579,0.7163934111595154,"'\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n'","'\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n'"
433,3090,0.6589416265487671,"'                ', '                ', '            ', '                ', '            ', '            ', '            ', '                ', '                ', '            '","'            ', '            ', '            ', '            ', '            ', '            ', '            ', '            ', '                ', '            '"
1287,2671,0.6526472568511963,"'            ', '            ', '            ', '            ', '                    ', '            ', '                ', '            ', '            ', '                '","'            ', '            ', '                ', '            ', '            ', '            ', '                ', '                ', '                ', '            '"
838,2876,0.6395462155342102,"' =', ' =', ' =', ' =', ' =', ' =', ' =', ' =', ' =', ' ='","' =', ' =', ' =', ' =', ' =', ' =', ' =', ' =', ' =', ' ='"
2583,3654,0.6347293853759766,"' want', ' want', ' want', ' want', ' want', ' want', ' want', ' want', ' want', ' want'","' want', ' want', ' want', ' want', ' want', ' want', ' want', ' want', ' want', ' want'"
419,2398,0.6230065822601318,"'(', '(', '(', '(', '(', '(', '(', '(', '(', '('","'(', '(', '(', '(', '(', '(', '(', '(', '(', '('"
841,2314,0.6219280958175659,"'\n\n', '\n\n', '\n\n', '\n\n', '\n\n', '\n\n', '\n\n', '\n\n', '\n\n', '\n\n'","'\n\n', '\n\n', '\n\n', '\n\n', '\n\n', '\n\n', '\n\n', '\n\n', '\n\n', '\n\n'"
3502,548,0.6202084422111511,"'        ', '        ', '        ', '        ', '        ', '        ', '        ', '        ', '        ', '        '","'    ', '    ', '    ', '    ', '    ', '    ', '    ', '    ', '    ', '    '"
1987,1633,0.6166850924491882,"',', ',', ',', ',', ',', ',', ',', ',', ',', 'self'","',', ',', ',', ',', ',', ',', ',', ',', ',', ' self'"
1144,724,0.10556469857692719,"' from', ' all', ' into', ' from', '其', ' to', '者', ' to', '/', '其'","' lemma', ' by', 'set', 'path', 's', 'uffix', 'handling', 'ps', 's', 'ings'"
2777,932,0.1059778556227684,"'1999', ' key', '\n', ' to', ' especially', 'tar', ' either', '的', 'param', ' ids'","'\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n'"
1780,3486,0.10697413980960846,"'x', '.', '.', '3', '/', ' ids', 'uffix', 'uffix', ' add', '('","' as', ' as', ' as', ' as', ' as', ' as', ' as', ' as', ' as', '.'"
2982,231,0.1071619838476181,"'\n', 'AST', ' WHERE', '/', ""='"", 'LY', '/', '�', 'yaml', '/'","'...', '...', 'res', ""'"", 'res', 'ling', 'ling', '10', 'A', ' resort'"
3727,3582,0.10721979290246964,"'""', 'd', 'd', ' step', 'hay', 'new', ' walk', '�', ' walking', ' ids'","' do', ' do', ' do', ' do', ' do', ' you', ' place', ' if', ' place', ' which'"
3964,523,0.10742095112800598,"'\n', '�', '�', '-', '.', '.', 'XML', 'XML', '.', 'XML'","'�', '�', ' sk', ' sk', '�', '�', '�', ' sk', '关', 'st'"
1561,602,0.10760745406150818,"' tar', 'rit', ' encapsulated', 'ling', 'Li', 'ling', 'ling', 'ling', 'ling', ' into'","':', '(', 'uffix', ',', ' ids', 'uffix', ' add', 'self', 'def', 'ids'"
824,3516,0.10761938989162445,"'\n', '(', 'uffix', ',', ' ids', 'uffix', ' add', 'self', 'def', 'ids'","'working', ' document', ' document', 'src', ' document', ' document', 'src', 'context', ' document', 'frames'"
2986,1075,0.1076728105545044,"' who', '(', 'uffix', ',', ' ids', 'uffix', ' add', 'self', 'def', 'ids'","' whereas', 'ass', '如', ' ``', ' ``', ' ``', ' ``', 'ass', ' like', ' ``'"
3895,1679,0.10781815648078918,"'.', '.', '.', '.', ' +=', 'add', ' +=', ' +=', 'add', '.'","'-', ' for', 'atter', ' to', '1999', '+', ' you', ' former', ' pipeline', '-'"
